ID,X,Y,ATTRIBUTE,WEIGHT,PREDICTION
131.0,-98.91686,29.397749,1.0,1.0,0.0
132.0,-98.904526,30.004622,1.0,1.0,0.0
133.0,-98.88263,29.342478,1.0,1.0,0.0
134.0,-98.854866,29.727816,1.0,1.0,0.0
135.0,-98.85458,30.07552,1.0,1.0,0.0
136.0,-98.84481,29.975792,1.0,1.0,0.0
137.0,-98.83385,29.972372,1.0,1.0,0.0
138.0,-98.82361,29.832333,1.0,1.0,0.0
139.0,-98.819885,30.49588,1.0,1.0,0.0
140.0,-98.81965,30.100555,1.0,1.0,0.0
141.0,-98.81854,29.884672,1.0,1.0,0.0
142.0,-98.81787,29.828592,1.0,1.0,0.0
143.0,-98.80824,29.77585,1.0,1.0,0.0
144.0,-98.77069,29.94735,1.0,1.0,0.0
145.0,-98.76264,29.55004,1.0,1.0,0.0
146.0,-98.75555,29.85769,1.0,1.0,0.0
147.0,-98.73479,29.80256,1.0,1.0,0.0
148.0,-98.72821,29.790218,1.0,1.0,0.0
149.0,-98.725975,29.788961,1.0,1.0,0.0
150.0,-98.71371,29.782331,1.0,1.0,0.0
151.0,-98.713425,29.779016,1.0,1.0,0.0
152.0,-98.709625,29.781288,1.0,1.0,0.0
153.0,-98.706375,29.778702,1.0,1.0,0.0
154.0,-98.69388,29.774628,1.0,1.0,0.0
155.0,-98.6826,30.9776,1.0,1.0,0.0
156.0,-98.64304,29.890215,1.0,1.0,0.0
157.0,-98.6326,29.6381,1.0,1.0,0.0
158.0,-98.62924,29.558777,1.0,1.0,0.0
159.0,-98.628395,29.556381,1.0,1.0,0.0
160.0,-98.62632,30.237728,1.0,1.0,0.0
161.0,-98.62504,30.241272,1.0,1.0,0.0
162.0,-98.61577,29.81692,1.0,1.0,0.0
163.0,-98.59527,29.354097,1.0,1.0,0.0
164.0,-98.576805,29.257833,1.0,1.0,0.0
165.0,-98.573746,29.515852,1.0,1.0,0.0
166.0,-98.57333,29.514858,1.0,1.0,0.0
167.0,-98.573326,29.514944,1.0,1.0,0.0
168.0,-98.57328,29.514841,1.0,1.0,0.0
169.0,-98.56487,29.452454,1.0,1.0,0.0
170.0,-98.54446,29.590885,1.0,1.0,0.0
171.0,-98.53784,29.340147,1.0,1.0,0.0
172.0,-98.53664,29.57943,1.0,1.0,0.0
173.0,-98.52539,29.87042,1.0,1.0,0.0
174.0,-98.51483,29.637274,1.0,1.0,0.0
175.0,-98.512375,29.645332,1.0,1.0,0.0
176.0,-98.50357,29.882347,1.0,1.0,0.0
177.0,-98.50094,29.556267,1.0,1.0,0.0
178.0,-98.499855,29.310968,1.0,1.0,0.0
179.0,-98.491905,29.304047,1.0,1.0,0.0
180.0,-98.4911,29.865911,1.0,1.0,0.0
181.0,-98.49022,29.862753,1.0,1.0,0.0
182.0,-98.49018,29.86795,1.0,1.0,0.0
183.0,-98.489914,29.863258,1.0,1.0,0.0
184.0,-98.48709,29.844566,1.0,1.0,0.0
185.0,-98.486626,29.874702,1.0,1.0,0.0
186.0,-98.48593,29.873695,1.0,1.0,0.0
187.0,-98.48554,29.874784,1.0,1.0,0.0
188.0,-98.48471,29.859324,1.0,1.0,0.0
189.0,-98.48405,29.869339,1.0,1.0,0.0
190.0,-98.48338,31.049225,1.0,1.0,0.0
191.0,-98.482475,29.860594,1.0,1.0,0.0
192.0,-98.4822,29.837465,1.0,1.0,0.0
193.0,-98.47806,29.452623,1.0,1.0,0.0
194.0,-98.47611,29.456112,1.0,1.0,0.0
195.0,-98.47365,29.458775,1.0,1.0,0.0
196.0,-98.47164,29.459011,1.0,1.0,0.0
197.0,-98.47028,29.46344,1.0,1.0,0.0
198.0,-98.46857,29.64603,1.0,1.0,0.0
199.0,-98.464,30.193,1.0,1.0,0.0
200.0,-98.45729,29.460112,1.0,1.0,0.0
201.0,-98.44265,31.022194,1.0,1.0,0.0
202.0,-98.43622,30.653706,1.0,1.0,0.0
203.0,-98.42577,29.513206,1.0,1.0,0.0
204.0,-98.424286,30.09145,1.0,1.0,0.0
205.0,-98.42097,29.502142,1.0,1.0,0.0
206.0,-98.409134,26.22439,1.0,1.0,0.0
207.0,-98.40539,30.294407,1.0,1.0,0.0
208.0,-98.389824,29.549856,1.0,1.0,0.0
209.0,-98.38849,30.722986,1.0,1.0,0.0
210.0,-98.38054,26.169096,1.0,1.0,0.0
211.0,-98.37994,26.185606,1.0,1.0,0.0
212.0,-98.379616,26.183882,1.0,1.0,0.0
213.0,-98.368324,29.583908,1.0,1.0,0.0
214.0,-98.36645,26.179602,1.0,1.0,0.0
215.0,-98.365944,30.743536,1.0,1.0,0.0
216.0,-98.36579,26.173832,1.0,1.0,0.0
217.0,-98.33944,28.471727,1.0,1.0,0.0
218.0,-98.3341,30.80041,1.0,1.0,0.0
219.0,-98.33279,26.13841,1.0,1.0,0.0
220.0,-98.33032,29.543394,1.0,1.0,0.0
221.0,-98.291725,29.915218,1.0,1.0,0.0
222.0,-98.276115,29.550528,1.0,1.0,0.0
223.0,-98.267944,30.087082,1.0,1.0,0.0
224.0,-98.261635,26.096107,1.0,1.0,0.0
225.0,-98.26144,29.217533,1.0,1.0,0.0
226.0,-98.25236,30.33517,1.0,1.0,0.0
227.0,-98.243866,30.306503,1.0,1.0,0.0
228.0,-98.2435,30.3031,1.0,1.0,0.0
229.0,-98.24268,29.609375,1.0,1.0,0.0
230.0,-98.237114,30.761862,1.0,1.0,0.0
232.0,-98.232574,29.550228,1.0,1.0,0.0
233.0,-98.22941,26.17648,1.0,1.0,0.0
234.0,-98.22643,30.064137,1.0,1.0,0.0
235.0,-98.22009,30.0686,1.0,1.0,0.0
236.0,-98.21886,26.268757,1.0,1.0,0.0
237.0,-98.21184,20.346954,1.0,1.0,0.0
238.0,-98.21061,26.248419,1.0,1.0,0.0
239.0,-98.20188,26.28145,1.0,1.0,0.0
240.0,-98.19644,29.86934,1.0,1.0,0.0
241.0,-98.19587,26.189606,1.0,1.0,0.0
242.0,-98.19179,26.373522,1.0,1.0,0.0
243.0,-98.19083,26.258593,1.0,1.0,0.0
244.0,-98.18613,29.55382,1.0,1.0,0.0
245.0,-98.18359,26.19475,1.0,1.0,0.0
